Month,City,AvgTemperature_avg,AvgTemperature_std
1,Belgrade,32.156666666666666,4.960164300207955
1,Bishkek,34.63333333333333,4.616711274111232
1,Denver,31.287096774193547,9.207632411410435
1,Grand Junction,26.129032258064516,6.961714039343427
1,Madrid,40.1,5.05432556297591
1,Milan,37.2,5.084798168442197
1,Pueblo,32.00645161290323,9.178886478721008
1,Salt Lake City,30.148387096774194,6.403950393714905
1,San Angelo,46.248387096774195,7.527986493423145
1,Zagreb,35.086666666666666,5.0366062282900925
2,Belgrade,40.403571428571425,6.099634606108986
2,Bishkek,32.892857142857146,7.599557909726092
2,Denver,27.092857142857145,10.631327869797463
2,Grand Junction,31.87142857142857,5.897510908903428
2,Madrid,45.082142857142856,3.307797025819624
2,Milan,42.32142857142857,4.926448434713817
2,Pueblo,32.03214285714286,9.865992978931086
2,Salt Lake City,34.582142857142856,9.286990246074764
2,San Angelo,51.489285714285714,10.012375279131259
2,Zagreb,41.707142857142856,5.902851073307778
3,Belgrade,50.46774193548387,5.689779556173461
3,Bishkek,49.777419354838706,7.0122611511275705
3,Denver,34.55483870967742,11.804260211456917
3,Grand Junction,42.89354838709678,4.663113086331274
3,Madrid,52.406451612903226,2.902979559449333
3,Milan,49.251612903225805,4.4271790090863306
3,Pueblo,40.00645161290323,11.29896560114748
3,Salt Lake City,42.37419354838709,6.018912844356274
3,San Angelo,54.76451612903226,10.941009959081986
3,Zagreb,50.49677419354839,5.677527858200711
4,Belgrade,56.05862068965517,5.721732832017344
4,Bishkek,55.96206896551725,4.788484236247225
4,Denver,48.95666666666667,9.982076466082228
4,Grand Junction,54.9,6.6406273073018305
4,Madrid,54.190000000000005,5.611647370148677
4,Milan,55.0,3.514358303547644
4,Pueblo,54.27333333333333,8.332525937898252
4,Salt Lake City,52.71333333333334,6.673919043732764
4,San Angelo,66.37333333333333,7.114382389330024
4,Zagreb,55.158620689655166,5.701097465863126
5,Belgrade,58.922222222222224,6.706043963547035
5,Bishkek,64.84074074074074,7.924317940038426
5,Denver,51.31612903225806,9.187277317907034
5,Grand Junction,56.71935483870968,6.787312642218994
5,Madrid,66.02962962962962,4.341199303880371
5,Milan,58.870370370370374,4.494510738737505
5,Pueblo,57.02903225806452,8.206915520802648
5,Salt Lake City,57.6741935483871,7.89797306241441
5,San Angelo,71.28064516129032,6.840244603562003
5,Zagreb,57.9,6.868825898999712
6,Belgrade,73.89,5.409082400351567
6,Bishkek,73.81333333333333,6.718463152123172
6,Denver,65.09333333333333,7.024044091710901
6,Grand Junction,71.10666666666665,6.933075813077848
6,Madrid,75.03999999999999,8.322325603356052
6,Milan,74.19333333333334,5.825445570250753
6,Pueblo,68.93333333333334,6.053117369179079
6,Salt Lake City,70.72333333333333,7.488275126343591
6,San Angelo,79.67333333333333,4.479449884122801
6,Zagreb,75.89666666666668,3.838595588487286
7,Belgrade,73.67096774193548,5.214159794788739
7,Bishkek,83.68387096774192,4.797575552588587
7,Denver,74.91935483870968,4.886881715698239
7,Grand Junction,80.45806451612903,3.5637783501548257
7,Madrid,82.68064516129031,4.32946643016117
7,Milan,77.43225806451613,4.258433757206534
7,Pueblo,77.49032258064516,4.8811443220287085
7,Salt Lake City,82.3483870967742,5.278438592850599
7,San Angelo,83.49354838709678,3.388995473968747
7,Zagreb,74.77741935483871,5.339707212786067
8,Belgrade,76.89032258064516,5.3354384286398115
8,Bishkek,78.01935483870967,6.443157577608389
8,Denver,74.70967741935483,3.777596664433588
8,Grand Junction,79.00322580645161,2.8449351335273847
8,Madrid,79.18064516129031,4.214531951461801
8,Milan,75.34516129032258,2.8704051641626527
8,Pueblo,77.48709677419355,3.03224250739546
8,Salt Lake City,80.6516129032258,4.752744538175945
8,San Angelo,87.8258064516129,3.2845058219804826
8,Zagreb,75.38064516129033,4.4107761489968125
9,Belgrade,66.39666666666668,6.14427029607783
9,Bishkek,65.32333333333334,5.983234238605653
9,Denver,68.62333333333332,6.2234641275680564
9,Grand Junction,70.21333333333334,7.505939410678823
9,Madrid,69.65333333333334,4.134775425109806
9,Milan,66.89666666666668,4.616349007702899
9,Pueblo,73.05,4.678988249021652
9,Salt Lake City,67.87333333333333,10.563239228025926
9,San Angelo,82.86999999999999,1.9610254179013606
9,Zagreb,64.49,5.081565737528893
10,Belgrade,58.96774193548387,6.030167885820661
10,Bishkek,54.86129032258064,4.374523015473028
10,Denver,43.92580645161291,14.425070022751722
10,Grand Junction,46.751612903225805,10.673202298833651
10,Madrid,60.50967741935484,6.7707879816512575
10,Milan,59.08387096774193,3.0406245821315028
10,Pueblo,46.535483870967745,13.822989266365811
10,Salt Lake City,46.061290322580646,9.103687070608801
10,San Angelo,65.59032258064516,12.75349245863553
10,Zagreb,57.064516129032256,5.713933168848274
11,Belgrade,53.94666666666667,6.225793583722998
11,Bishkek,34.309999999999995,10.097707148416035
11,Denver,36.20666666666667,11.370255610305257
11,Grand Junction,39.65,5.536508921195988
11,Madrid,50.34666666666667,6.37179849743807
11,Milan,47.19666666666667,3.460464721963512
11,Pueblo,37.36,7.135660808391456
11,Salt Lake City,40.67666666666666,5.458349083069319
11,San Angelo,54.13,10.105858662693876
11,Zagreb,48.75333333333333,4.3252851875943366
12,Belgrade,40.47096774193548,7.057109585299408
12,Bishkek,34.064516129032256,8.432221865641218
12,Denver,33.15483870967742,8.058198256420907
12,Grand Junction,30.151612903225807,5.630030844660441
12,Madrid,46.08064516129032,5.2158361013896055
12,Milan,41.538709677419355,4.655511244346484
12,Pueblo,32.50967741935484,7.206448724982815
12,Salt Lake City,33.40967741935484,5.907416515912274
12,San Angelo,50.26774193548387,8.388857176706658
12,Zagreb,40.55483870967742,7.652356443592062
